NO.,hostile_offline,hostile_online,aggression
865,0,0,0.277777778
866,0.166666667,0.1,0.736111111
867,0,0,0.5
868,0,0,0.5
869,0.833333333,0.8,0.930555556
870,0,0.033333333,0.333333333
871,0,0,0.180555556
872,0,0,0.458333333
873,0,0,0.444444444
874,0.111111111,0,0.152777778
875,0.111111111,0.066666667,0.430555556
876,0,0,0.180555556
877,0,0,0.347222222
878,0,0,0.180555556
879,0,0,0.319444444
880,0.111111111,0.066666667,0.277777778
881,0,0,0.083333333
882,0.055555556,0.066666667,0.319444444
883,0,0,0.486111111
884,0.055555556,0.033333333,0.388888889
885,0,0,0.291666667
886,0,0,0.333333333
887,0,0,0.222222222
888,0.111111111,0.033333333,0.527777778
889,0,0,0.263888889
890,0,0,0.333333333
891,0,0.066666667,0.236111111
892,0,0,0.708333333
893,0.055555556,0.033333333,0.166666667
894,1,1,0.916666667
895,0,0,0.152777778
896,0.055555556,0.033333333,0.541666667
897,0,0.233333333,0.277777778
898,0.111111111,0,0.194444444
899,0,0,0.333333333
900,0.333333333,0.333333333,0.361111111
901,0,0,0.083333333
902,0,0,0.125
903,0.055555556,0.033333333,0.555555556
904,0.111111111,0.366666667,0.402777778
905,0,0.066666667,0.291666667
906,0.055555556,0,0.291666667
907,0.055555556,0.2,0.138888889
908,0,0.033333333,0.222222222
909,0.055555556,0.033333333,0.583333333
910,0,0,0.555555556
911,0.666666667,0.566666667,0.694444444
912,0,0.066666667,0.5
913,0.055555556,0.066666667,0.152777778
914,0,0,0.5
915,0,0,0.388888889
916,0,0,0.263888889
917,0,0,0.208333333
918,0,0,0.25
919,0.833333333,0.866666667,0.819444444
920,0,0,0.319444444
921,0,0,0.416666667
922,0,0,0.569444444
923,0,0.033333333,0.527777778
924,0,0.033333333,0.805555556
925,0,0,0.152777778
926,0.111111111,0.166666667,0.416666667
927,0,0,0.236111111
928,0,0,0.569444444
929,0,0.033333333,0.305555556
930,0,0,0.847222222
931,0,0,0.319444444
932,0,0,0.555555556
933,0,0,0.333333333
934,0.111111111,0.066666667,0.319444444
935,0,0,0.486111111
936,0.111111111,0,0.305555556
937,0,0,0.527777778
938,0,0,0.416666667
939,0.055555556,0.033333333,0.111111111
940,0.055555556,0,0.263888889
941,0.555555556,0.666666667,0.402777778
942,0,0.033333333,0.625
943,0.166666667,0.166666667,0.222222222
944,0,0,0.361111111
945,0.111111111,0,0.319444444
946,0.166666667,0.1,0.416666667
947,0,0,0.361111111
948,0,0.033333333,0.444444444
949,0,0.033333333,0.791666667
